timestamp,bitcoin,ethereum,solana
2024-04-24,64276.8984375,3139.80517578125,147.74514770507812
2024-04-25,64481.70703125,3156.509521484375,144.89212036132812
2024-04-26,63755.3203125,3130.164794921875,139.10433959960938
2024-04-27,63419.140625,3252.168212890625,141.28916931152344
2024-04-28,63113.23046875,3262.774658203125,137.85641479492188
2024-04-29,63841.12109375,3215.428955078125,137.7766571044922
2024-04-30,60636.85546875,3012.286865234375,126.96270751953125
2024-05-01,58254.01171875,2969.78466796875,134.6279754638672
2024-05-02,59123.43359375,2988.16845703125,137.81448364257812
2024-05-03,62889.8359375,3103.5419921875,143.77255249023438
2024-05-04,63891.47265625,3117.576416015625,146.1350555419922
2024-05-05,64031.1328125,3137.2490234375,145.71302795410156
2024-05-06,63161.94921875,3062.728759765625,152.80239868164062
2024-05-07,62334.81640625,3006.5771484375,148.1343231201172
2024-05-08,61187.94140625,2973.6572265625,142.29473876953125
2024-05-09,63049.9609375,3036.0205078125,152.84994506835938
2024-05-10,60792.77734375,2909.791259765625,146.21690368652344
2024-05-11,60793.7109375,2911.60205078125,145.3143768310547
2024-05-12,61448.39453125,2928.701904296875,143.52081298828125
2024-05-13,62901.44921875,2949.359619140625,147.28233337402344
2024-05-14,61552.7890625,2881.157958984375,142.0303955078125
2024-05-15,66267.4921875,3037.056640625,158.18682861328125
2024-05-16,65231.58203125,2945.131103515625,159.116455078125
2024-05-17,67051.875,3094.11865234375,169.53054809570312
2024-05-18,66940.8046875,3122.948974609375,172.5391387939453
2024-05-19,66278.3671875,3071.843017578125,170.0913543701172
2024-05-20,71448.1953125,3430.577880859375,186.52049255371094
2024-05-21,70136.53125,3789.312744140625,178.11614990234375
2024-05-22,69122.3359375,3737.2177734375,176.86077880859375
2024-05-23,67929.5625,3776.92724609375,175.98577880859375
2024-05-24,68526.1015625,3726.9345703125,167.7969207763672
2024-05-25,69265.9453125,3749.236572265625,168.43763732910156
2024-05-26,68518.09375,3825.8974609375,163.3509063720703
2024-05-27,69394.5546875,3892.0068359375,169.9961395263672
2024-05-28,68296.21875,3840.25634765625,168.65084838867188
2024-05-29,67578.09375,3763.196533203125,168.0726776123047
2024-05-30,68364.9921875,3746.849609375,166.97653198242188
2024-05-31,67491.4140625,3760.026611328125,165.63771057128906
2024-06-01,67706.9375,3813.198974609375,166.03067016601562
2024-06-02,67751.6015625,3780.89599609375,163.24990844726562
2024-06-03,68804.78125,3766.38916015625,164.9234619140625
2024-06-04,70567.765625,3812.515869140625,171.8019256591797
2024-06-05,71082.8203125,3864.260986328125,173.48291015625
2024-06-06,70757.1640625,3811.60595703125,170.01622009277344
2024-06-07,69342.5859375,3678.629150390625,162.50704956054688
2024-06-08,69305.7734375,3680.949951171875,157.96890258789062
2024-06-09,69647.9921875,3705.90380859375,162.08360290527344
2024-06-10,69512.28125,3666.717529296875,158.9280242919922
2024-06-11,67332.03125,3498.33056640625,149.42898559570312
2024-06-12,68241.1875,3559.61767578125,155.1775665283203
2024-06-13,66756.3984375,3469.28125,147.31442260742188
2024-06-14,66011.09375,3480.27197265625,143.0944366455078
2024-06-15,66191.0,3565.549560546875,145.41221618652344
2024-06-16,66639.046875,3620.5634765625,151.12550354003906
2024-06-17,66490.296875,3511.37890625,143.3342742919922
2024-06-18,65140.74609375,3483.681396484375,137.50399780273438
2024-06-19,64960.296875,3559.347412109375,135.60960388183594
2024-06-20,64828.65625,3511.0869140625,133.47296142578125
2024-06-21,64096.19921875,3516.07568359375,134.5883026123047
2024-06-22,64252.578125,3494.8134765625,133.6702423095703
2024-06-23,63180.796875,3418.61181640625,128.59042358398438
2024-06-24,60277.4140625,3350.25634765625,132.24139404296875
2024-06-25,61804.640625,3395.029052734375,136.5592041015625
2024-06-26,60811.27734375,3369.477294921875,136.60914611816406
2024-06-27,61604.80078125,3444.800537109375,149.44837951660156
2024-06-28,60320.13671875,3373.635986328125,139.70339965820312
2024-06-29,60887.37890625,3372.9677734375,140.01014709472656
2024-06-30,62678.29296875,3432.88916015625,146.49249267578125
2024-07-01,62851.98046875,3440.341552734375,146.59506225585938
2024-07-02,62029.015625,3416.354736328125,153.7004852294922
2024-07-03,60173.921875,3292.916748046875,140.73141479492188
2024-07-04,56977.703125,3054.52197265625,127.55081939697266
2024-07-05,56662.375,2981.5986328125,134.3693389892578
2024-07-06,58303.5390625,3069.3779296875,143.24118041992188
2024-07-07,55849.109375,2929.38720703125,131.7740936279297
2024-07-08,56705.09765625,3018.73193359375,139.4636993408203
2024-07-09,58009.2265625,3064.032958984375,141.34844970703125
2024-07-10,57742.49609375,3102.21875,141.97479248046875
2024-07-11,57344.9140625,3100.330810546875,135.8832244873047
2024-07-12,57899.46484375,3134.15869140625,139.52801513671875
2024-07-13,59231.953125,3177.19873046875,141.9249725341797
2024-07-14,60787.79296875,3244.0791015625,147.622314453125
2024-07-15,64870.15234375,3489.552734375,159.93397521972656
2024-07-16,65097.1484375,3443.513427734375,160.5518798828125
2024-07-17,64118.79296875,3388.75244140625,155.5841064453125
2024-07-18,63974.06640625,3426.258544921875,159.07241821289062
2024-07-19,66710.15625,3505.73486328125,169.1858673095703
2024-07-20,67163.6484375,3519.29541015625,173.89178466796875
2024-07-21,68154.5234375,3536.60546875,184.54161071777344
2024-07-22,67585.25,3440.419921875,178.97828674316406
2024-07-23,65927.671875,3481.995849609375,172.757568359375
2024-07-24,65372.1328125,3336.33935546875,178.0323028564453
2024-07-25,65777.2265625,3174.42724609375,171.96307373046875
2024-07-26,67912.0625,3275.951416015625,183.13671875
